ID,Make,Model,Year,Mileage,Engine,NumCylinders,pricesold,zipcode,Trim,yearsold
38,Mercedes,C-Class,1990,136059,1.5L I4,8,1412,54261,Base,2023
39,Honda,C-Class,2007,59871,Hybrid,4,8543,11542,Base,2023
40,Chevrolet,Sportage,1983,154471,Electric,6,41355,31677,Sport,2023
41,Kia,Jetta,1980,129391,4.0L V8,4,34496,56732,Luxury,2023
42,Honda,Jetta,1990,178286,2.0L Turbo,4,24548,60343,Luxury,2023
43,Volkswagen,Focus,2003,87416,Hybrid,6,28384,49081,Base,2023
44,Kia,C-Class,1977,71271,3.0L V6,4,45425,72856,Base,2023
45,Volkswagen,Corolla,1994,45064,3.0L V6,8,39756,98858,Sport,2023
46,Hyundai,Cruze,2010,108450,2.0L I4,4,19888,29065,Sport,2023
47,Honda,Cruze,1993,172890,Electric,6,36735,93460,Luxury,2023
48,Chevrolet,Elantra,2000,177597,2.5L I4,6,48295,98092,Limited,2023
49,Mercedes,C-Class,1977,20830,2.0L Turbo,6,49816,64693,Luxury,2023
50,Nissan,C-Class,1993,149501,1.5L I4,4,18506,36962,Base,2023
51,Ford,Cruze,1994,138965,1.5L I4,6,21463,38295,Luxury,2023
52,Toyota,C-Class,2006,117381,2.0L Turbo,6,18955,23807,Limited,2023
53,Chevrolet,Focus,1981,48333,2.2L Diesel,4,38841,52348,Sport,2023
54,Honda,3 Series,2015,135508,2.5L I4,8,6104,36432,Limited,2023
55,Nissan,Civic,2007,77213,Hybrid,4,35911,93285,Limited,2023
56,Chevrolet,Jetta,2014,137967,4.0L V8,6,24190,67854,Limited,2023
57,Honda,Sportage,2013,151810,2.2L Diesel,6,8357,50262,Sport,2023
58,BMW,Elantra,1992,31746,4.0L V8,4,33479,47080,Limited,2023
59,BMW,3 Series,2014,50377,4.0L V8,8,45811,11324,Limited,2023
60,Volkswagen,Cruze,1975,180476,2.2L Diesel,6,37208,45909,Limited,2023
61,Chevrolet,Jetta,1985,55045,2.0L I4,6,21150,99339,Base,2023
62,BMW,C-Class,2002,98888,3.0L V6,6,6644,29870,Limited,2023
63,Honda,Sportage,1999,171862,4.0L V8,4,44286,44578,Sport,2023
64,Volkswagen,C-Class,1997,108455,2.2L Diesel,6,48320,82124,Limited,2023
65,Honda,Corolla,2005,137672,2.2L Diesel,8,3914,36790,Limited,2023
66,Volkswagen,Corolla,2004,94179,1.8L I4,6,22352,35289,Sport,2023
67,Chevrolet,Sportage,2016,172836,2.0L I4,6,47352,65129,Limited,2023
68,Nissan,Sportage,2009,46714,Electric,8,45912,25485,Sport,2023
69,Mercedes,Cruze,1981,188907,1.8L I4,6,15397,54482,Limited,2023
70,Kia,Sportage,1990,103946,1.8L I4,4,42555,96188,Sport,2023
71,Nissan,Focus,2000,110616,2.0L Turbo,4,47959,14748,Limited,2023
72,Hyundai,C-Class,2022,106983,3.0L V6,4,1728,96769,Limited,2023
73,Honda,3 Series,1976,188563,2.2L Diesel,8,1698,19435,Base,2023
74,Hyundai,Altima,1975,125123,3.0L V6,6,40954,13709,Base,2023
75,Nissan,Sportage,2022,150661,2.5L I4,4,48280,40355,Limited,2023
76,Volkswagen,Elantra,1986,44484,2.0L Turbo,8,14923,65771,Limited,2023
77,Kia,Corolla,1979,83989,Electric,6,17779,67799,Luxury,2023
78,Kia,Focus,2011,37212,3.0L V6,8,8400,23116,Sport,2023
79,Toyota,Jetta,2006,44525,1.5L I4,4,25466,35470,Luxury,2023
80,Kia,Altima,1983,179274,4.0L V8,4,37939,52344,Base,2023
